date,region_code,region,recovered,active_cases,deceased,cases
2020-10-07,1,Eivissa,1771,349,15,2111
2020-10-07,2,Formentera,123,14,1,138
2020-10-07,3,Mallorca,9971,2015,291,12223
2020-10-07,4,Menorca,332,43,13,387
2020-10-08,1,Eivissa,1787,354,15,2132
2020-10-08,2,Formentera,124,13,1,138
2020-10-08,3,Mallorca,10033,2040,294,12314
2020-10-08,4,Menorca,334,43,13,389
2020-10-12,1,Eivissa,1861,321,15,2173
2020-10-12,2,Formentera,126,11,1,138
2020-10-12,3,Mallorca,10269,2234,294,12745
2020-10-12,4,Menorca,337,47,13,396
2020-10-13,1,Eivissa,1877,323,16,2192
2020-10-13,2,Formentera,129,8,1,138
2020-10-13,3,Mallorca,10334,2229,298,12810
2020-10-13,4,Menorca,340,74,13,426
