date,region_code,region,illa,cases,recovered,active_cases,deceased,tp7d
2020-02-24,7024,Formentera,Formentera,0,0,0,0,0
2020-02-24,0,total-formentera,Formentera,0,0,0,0,0
2020-02-25,7024,Formentera,Formentera,0,0,0,0,0
2020-02-25,0,total-formentera,Formentera,0,0,0,0,0
2020-02-26,7024,Formentera,Formentera,0,0,0,0,0
2020-02-26,0,total-formentera,Formentera,0,0,0,0,0
2020-02-27,7024,Formentera,Formentera,0,0,0,0,0
2020-02-27,0,total-formentera,Formentera,0,0,0,0,0
2020-02-28,7024,Formentera,Formentera,0,0,0,0,0
2020-02-28,0,total-formentera,Formentera,0,0,0,0,0
2020-02-29,7024,Formentera,Formentera,0,0,0,0,0
2020-02-29,0,total-formentera,Formentera,0,0,0,0,0
2020-03-01,7024,Formentera,Formentera,0,0,0,0,0
2020-03-01,0,total-formentera,Formentera,0,0,0,0,0
2020-03-02,7024,Formentera,Formentera,0,0,0,0,0
2020-03-02,0,total-formentera,Formentera,0,0,0,0,0
2020-03-03,7024,Formentera,Formentera,0,0,0,0,0
2020-03-03,0,total-formentera,Formentera,0,0,0,0,0
2020-03-04,7024,Formentera,Formentera,0,0,0,0,0
2020-03-04,0,total-formentera,Formentera,0,0,0,0,0
2020-03-05,7024,Formentera,Formentera,0,0,0,0,0
2020-03-05,0,total-formentera,Formentera,0,0,0,0,0
2020-03-06,7024,Formentera,Formentera,0,0,0,0,0
2020-03-06,0,total-formentera,Formentera,0,0,0,0,0
2020-03-07,7024,Formentera,Formentera,0,0,0,0,0
2020-03-07,0,total-formentera,Formentera,0,0,0,0,0
2020-03-08,7024,Formentera,Formentera,0,0,0,0,0
2020-03-08,0,total-formentera,Formentera,0,0,0,0,0
2020-03-09,7024,Formentera,Formentera,0,0,0,0,0
2020-03-09,0,total-formentera,Formentera,0,0,0,0,0
2020-03-10,7024,Formentera,Formentera,0,0,0,0,0
2020-03-10,0,total-formentera,Formentera,0,0,0,0,0
2020-03-11,7024,Formentera,Formentera,0,0,0,0,0
2020-03-11,0,total-formentera,Formentera,0,0,0,0,0
2020-03-12,7024,Formentera,Formentera,0,0,0,0,0
2020-03-12,0,total-formentera,Formentera,0,0,0,0,0
2020-03-13,7024,Formentera,Formentera,0,0,0,0,0
2020-03-13,0,total-formentera,Formentera,0,0,0,0,0
2020-03-14,7024,Formentera,Formentera,0,0,0,0,0
2020-03-14,0,total-formentera,Formentera,0,0,0,0,0
2020-03-15,7024,Formentera,Formentera,0,0,0,0,0
2020-03-15,0,total-formentera,Formentera,0,0,0,0,0
2020-03-16,7024,Formentera,Formentera,0,0,0,0,0
2020-03-16,0,total-formentera,Formentera,0,0,0,0,0
2020-03-17,7024,Formentera,Formentera,0,0,0,0,0
2020-03-17,0,total-formentera,Formentera,0,0,0,0,0
2020-03-18,7024,Formentera,Formentera,0,0,0,0,0
2020-03-18,0,total-formentera,Formentera,0,0,0,0,0
2020-03-19,7024,Formentera,Formentera,0,0,0,0,0
2020-03-19,0,total-formentera,Formentera,0,0,0,0,0
2020-03-20,7024,Formentera,Formentera,0,0,0,0,0
2020-03-20,0,total-formentera,Formentera,0,0,0,0,0
2020-03-21,7024,Formentera,Formentera,0,0,0,0,0
2020-03-21,0,total-formentera,Formentera,0,0,0,0,0
2020-03-22,7024,Formentera,Formentera,0,0,0,0,0
2020-03-22,0,total-formentera,Formentera,0,0,0,0,0
2020-03-23,7024,Formentera,Formentera,0,0,0,0,0
2020-03-23,0,total-formentera,Formentera,0,0,0,0,0
2020-03-24,7024,Formentera,Formentera,0,0,0,0,0
2020-03-24,0,total-formentera,Formentera,0,0,0,0,0
2020-03-25,7024,Formentera,Formentera,0,0,0,0,0
2020-03-25,0,total-formentera,Formentera,0,0,0,0,0
2020-03-26,7024,Formentera,Formentera,0,0,0,0,0
2020-03-26,0,total-formentera,Formentera,0,0,0,0,0
2020-03-27,7024,Formentera,Formentera,0,0,0,0,0
2020-03-27,0,total-formentera,Formentera,0,0,0,0,0
2020-03-28,7024,Formentera,Formentera,2,0,0,0,0.2857142857142857
2020-03-28,0,total-formentera,Formentera,2,0,0,0,0.2857142857142857
2020-03-29,7024,Formentera,Formentera,2,0,0,0,0.2857142857142857
2020-03-29,0,total-formentera,Formentera,2,0,0,0,0.2857142857142857
2020-03-30,7024,Formentera,Formentera,2,0,0,0,0.4
2020-03-30,0,total-formentera,Formentera,2,0,0,0,0.4
2020-03-31,7024,Formentera,Formentera,2,0,0,0,0.3333333333333333
2020-03-31,0,total-formentera,Formentera,2,0,0,0,0.3333333333333333
2020-04-01,7024,Formentera,Formentera,2,0,0,0,0.3333333333333333
2020-04-01,0,total-formentera,Formentera,2,0,0,0,0.3333333333333333
2020-04-02,7024,Formentera,Formentera,2,0,0,0,0.5
2020-04-02,0,total-formentera,Formentera,2,0,0,0,0.5
2020-04-03,7024,Formentera,Formentera,2,0,0,0,0.6666666666666666
2020-04-03,0,total-formentera,Formentera,2,0,0,0,0.6666666666666666
2020-04-04,7024,Formentera,Formentera,2,0,0,0,0
2020-04-04,0,total-formentera,Formentera,2,0,0,0,0
2020-04-05,7024,Formentera,Formentera,3,0,0,0,0.14285714285714285
2020-04-05,0,total-formentera,Formentera,3,0,0,0,0.14285714285714285
2020-04-06,7024,Formentera,Formentera,3,0,0,0,0.125
2020-04-06,0,total-formentera,Formentera,3,0,0,0,0.125
2020-04-07,7024,Formentera,Formentera,3,0,0,0,0.125
2020-04-07,0,total-formentera,Formentera,3,0,0,0,0.125
2020-04-08,7024,Formentera,Formentera,3,0,0,0,0.125
2020-04-08,0,total-formentera,Formentera,3,0,0,0,0.125
2020-04-09,7024,Formentera,Formentera,3,0,0,0,0.125
2020-04-09,0,total-formentera,Formentera,3,0,0,0,0.125
2020-04-10,7024,Formentera,Formentera,3,0,0,0,0.1111111111111111
2020-04-10,0,total-formentera,Formentera,3,0,0,0,0.1111111111111111
2020-04-11,7024,Formentera,Formentera,4,0,0,0,0.2
2020-04-11,0,total-formentera,Formentera,4,0,0,0,0.2
2020-04-12,7024,Formentera,Formentera,4,0,0,0,0.14285714285714285
