region,region_code
Alaior,7002
Alaró,7001
Alcúdia,7003
Algaida,7004
Andratx,7005
Ariany,7901
Artà,7006
Banyalbufar,7007
Binissalem,7008
Búger,7009
Bunyola,7010
Calvià,7011
Campos,7013
Capdepera,7014
Ciutadella de Menorca,7015
Campanet,7012
Consell,7016
Costitx,7017
Deià,7018
Eivissa,7026
Es Castell,7064
Es Mercadal,7037
Es Migjorn Gran,7902
Escorca,7019
Esporles,7020
Estellencs,7021
Felanitx,7022
Ferreries,7023
Formentera,7024
Fornalutx,7025
Lloret de Vistalegre,7028
Llucmajor,7031
Manacor,7033
Maó,7032
Inca,7027
Lloseta,7029
Llubí,7030
Mancor de la Vall,7034
Maria de la Salut,7035
Marratxí,7036
Montuïri,7038
Muro,7039
Palma,7040
Pollença,7042
Porreres,7043
Sant Antoni de Portmany,7046
Petra,7041
Puigpunyent,7045
Sa Pobla,7044
Sant Joan,7049
Sant Joan de Labritja,7050
Sant Josep de sa Talaia,7048
Sant Llorenç des Cardassar,7051
Sant Lluís,7052
Santa Eugènia,7053
Santa Eulària des Riu,7054
Santa Margalida,7055
Santa Maria del Camí,7056
Santanyí,7057
Selva,7058
Sencelles,7047
Ses Salines,7059
Sineu,7060
Sóller,7061
Son Servera,7062
Valldemossa,7063
Vilafranca de Bonany,7065
total-mallorca,0
total-menorca,0
total-eivissa,0
total-formentera,0
total-balears,0
