name,rename
ALARÓ,Alaró
ALCÚDIA,Alcúdia
ALGAIDA,Algaida
ANDRATX,Andratx
ARIANY,Ariany
ARTÀ,Artà
BANYALBUFAR,Banyalbufar
BINISSALEM,Binissalem
BÚGER,Búger
BUNYOLA,Bunyola
CALVIÀ,Calvià
CAMPANET,Campanet
CAMPOS,Campos
CAPDEPERA,Capdepera
CONSELL,Consell
COSTITX,Costitx
DEIA,Deià
DEIÀ,Deià
ESCORCA,Escorca
ESPORLES,Esporles
ESTELLENCS,Estellencs
FELANITX,Felanitx
FORNALUTX,Fornalutx
INCA,Inca
LLORET DE VISTALEGRE,Lloret de Vistalegre
LLOSETA,Lloseta
LLUBI,Llubí
LLUCMAJOR,Llucmajor
MANACOR,Manacor
MANCOR DE LA VALL,Mancor de la Vall
MARIA DE LA SALUT,Maria de la Salut
MARRATXÍ,Marratxí
MONTUÏRI,Montuïri
MURO,Muro
PALMA DE MALLORCA,Palma
PETRA,Petra
POBLA (SA),Sa Pobla
POLLENÇA,Pollença
PORRERES,Porreres
PUIGPUNYENT,Puigpunyent
SALINES (SES),Ses Salines
SANT JOAN,Sant Joan
SANT LLORENÇ DES CARDASSAR,Sant Llorenç des Cardassar
S. LLORENÇ DES CARDASSAR,Sant Llorenç des Cardassar
SANTA EUGÈNIA,Santa Eugènia
SANTA MARGALIDA,Santa Margalida
SANTA MARÍA DEL CAMÍ,Santa Maria del Camí
SANTANYÍ,Santanyí
SELVA,Selva
SENCELLES,Sencelles
SINEU,Sineu
SÓLLER,Sóller
SON SERVERA,Son Servera
VALLDEMOSSA,Valldemossa
VILAFRANCA DE BONANY,Vilafranca de Bonany
ALAIOR,Alaior
CASTELL (ES),Es Castell
CIUTADELLA DE MENORCA,Ciutadella de Menorca
FERRERIES,Ferreries
MAO,Maó
MERCADAL (ES),Es Mercadal
MIGJORN GRAN (ES),Es Migjorn Gran
SANT LLUÍS,Sant Lluís
EIVISSA,Eivissa
SANT ANTONI DE PORTMANY,Sant Antoni de Portmany
SANT JOAN DE LABRITJA,Sant Joan de Labritja
SANT JOSEP DE SA TALAIA,Sant Josep de sa Talaia
SANTA EULALIA DEL RÍO,Santa Eulària des Riu
FORMENTERA,Formentera
TOTAL ILLES BALEARS, Balears
