,date,region_code,region,recovered,active_cases,deceased,cases
0,2020-10-07,1,Eivissa,1771.0,349.0,15.0,2111.0
0,2020-10-07,0,total-balears,12197.0,2421.0,320.0,14859.0
0,2020-10-07,2,Formentera,123.0,14.0,1.0,138.0
0,2020-10-07,3,Mallorca,9971.0,2015.0,291.0,12223.0
0,2020-10-07,4,Menorca,332.0,43.0,13.0,387.0
1,2020-10-08,1,Eivissa,1787.0,354.0,15.0,2132.0
1,2020-10-08,2,Formentera,124.0,13.0,1.0,138.0
1,2020-10-08,0,total-balears,12278.0,2450.0,323.0,14973.0
1,2020-10-08,3,Mallorca,10033.0,2040.0,294.0,12314.0
1,2020-10-08,4,Menorca,334.0,43.0,13.0,389.0
2,2020-10-09,2,Formentera,124.0,13.0,1.0,138.0
2,2020-10-09,3,Mallorca,10033.0,2040.0,294.0,12314.0
2,2020-10-09,0,total-balears,12278.0,2450.0,323.0,14973.0
2,2020-10-09,1,Eivissa,1787.0,354.0,15.0,2132.0
2,2020-10-09,4,Menorca,334.0,43.0,13.0,389.0
3,2020-10-10,1,Eivissa,1787.0,354.0,15.0,2132.0
3,2020-10-10,2,Formentera,124.0,13.0,1.0,138.0
3,2020-10-10,0,total-balears,12278.0,2450.0,323.0,14973.0
3,2020-10-10,4,Menorca,334.0,43.0,13.0,389.0
3,2020-10-10,3,Mallorca,10033.0,2040.0,294.0,12314.0
4,2020-10-11,3,Mallorca,10033.0,2040.0,294.0,12314.0
4,2020-10-11,2,Formentera,124.0,13.0,1.0,138.0
4,2020-10-11,1,Eivissa,1787.0,354.0,15.0,2132.0
4,2020-10-11,4,Menorca,334.0,43.0,13.0,389.0
4,2020-10-11,0,total-balears,12278.0,2450.0,323.0,14973.0
5,2020-10-12,0,total-balears,12593.0,2613.0,323.0,15452.0
5,2020-10-12,2,Formentera,126.0,11.0,1.0,138.0
5,2020-10-12,1,Eivissa,1861.0,321.0,15.0,2173.0
5,2020-10-12,4,Menorca,337.0,47.0,13.0,396.0
5,2020-10-12,3,Mallorca,10269.0,2234.0,294.0,12745.0
6,2020-10-13,3,Mallorca,10334.0,2229.0,298.0,12810.0
6,2020-10-13,4,Menorca,340.0,74.0,13.0,426.0
6,2020-10-13,0,total-balears,12680.0,2634.0,328.0,15566.0
6,2020-10-13,1,Eivissa,1877.0,323.0,16.0,2192.0
6,2020-10-13,2,Formentera,129.0,8.0,1.0,138.0
7,2020-10-14,2,Formentera,129.0,8.0,1.0,138.0
7,2020-10-14,0,total-balears,12741.0,2697.0,332.0,15695.0
7,2020-10-14,4,Menorca,340.0,78.0,13.0,430.0
7,2020-10-14,1,Eivissa,1885.0,327.0,16.0,2204.0
7,2020-10-14,3,Mallorca,10387.0,2284.0,302.0,12923.0
8,2020-10-15,2,Formentera,129.0,8.0,1.0,138.0
8,2020-10-15,0,total-balears,12911.0,2650.0,334.0,15820.0
8,2020-10-15,4,Menorca,340.0,81.0,13.0,433.0
8,2020-10-15,1,Eivissa,1917.0,312.0,16.0,2221.0
8,2020-10-15,3,Mallorca,10525.0,2249.0,304.0,13028.0
9,2020-10-16,4,Menorca,340.0,81.0,13.0,433.0
9,2020-10-16,1,Eivissa,1917.0,312.0,16.0,2221.0
9,2020-10-16,3,Mallorca,10525.0,2249.0,304.0,13028.0
9,2020-10-16,2,Formentera,129.0,8.0,1.0,138.0
9,2020-10-16,0,total-balears,12911.0,2650.0,334.0,15820.0
10,2020-10-17,4,Menorca,340.0,81.0,13.0,433.0
10,2020-10-17,2,Formentera,129.0,8.0,1.0,138.0
10,2020-10-17,0,total-balears,12911.0,2650.0,334.0,15820.0
10,2020-10-17,1,Eivissa,1917.0,312.0,16.0,2221.0
10,2020-10-17,3,Mallorca,10525.0,2249.0,304.0,13028.0
11,2020-10-18,3,Mallorca,10798.0,2279.0,304.0,13331.0
11,2020-10-18,4,Menorca,344.0,92.0,13.0,448.0
11,2020-10-18,0,total-balears,13238.0,2695.0,334.0,16192.0
11,2020-10-18,1,Eivissa,1967.0,316.0,16.0,2275.0
11,2020-10-18,2,Formentera,129.0,8.0,1.0,138.0
12,2020-10-19,1,Eivissa,1991.0,321.0,16.0,2304.0
12,2020-10-19,0,total-balears,13368.0,2681.0,339.0,16313.0
12,2020-10-19,2,Formentera,129.0,9.0,1.0,139.0
12,2020-10-19,3,Mallorca,10900.0,2252.0,309.0,13411.0
12,2020-10-19,4,Menorca,348.0,99.0,13.0,459.0
13,2020-10-20,2,Formentera,129.0,9.0,1.0,139.0
13,2020-10-20,0,total-balears,13474.0,2735.0,343.0,16477.0
13,2020-10-20,4,Menorca,351.0,105.0,13.0,468.0
13,2020-10-20,3,Mallorca,10982.0,2288.0,313.0,13533.0
13,2020-10-20,1,Eivissa,2012.0,333.0,16.0,2337.0
14,2020-10-21,2,Formentera,129.0,9.0,1.0,139.0
14,2020-10-21,0,total-balears,13594.0,2787.0,351.0,16660.0
14,2020-10-21,4,Menorca,356.0,111.0,13.0,479.0
14,2020-10-21,3,Mallorca,11078.0,2324.0,321.0,13676.0
14,2020-10-21,1,Eivissa,2031.0,343.0,16.0,2366.0
15,2020-10-22,0,total-balears,13671.0,2908.0,359.0,16873.0
15,2020-10-22,4,Menorca,356.0,126.0,14.0,495.0
15,2020-10-22,3,Mallorca,11143.0,2405.0,328.0,13835.0
15,2020-10-22,2,Formentera,129.0,9.0,1.0,139.0
15,2020-10-22,1,Eivissa,2043.0,368.0,16.0,2404.0
16,2020-10-23,4,Menorca,356.0,126.0,14.0,495.0
16,2020-10-23,0,total-balears,13671.0,2908.0,359.0,16873.0
16,2020-10-23,2,Formentera,129.0,9.0,1.0,139.0
16,2020-10-23,1,Eivissa,2043.0,368.0,16.0,2404.0
16,2020-10-23,3,Mallorca,11143.0,2405.0,328.0,13835.0
17,2020-10-24,0,total-balears,13671.0,2908.0,359.0,16873.0
17,2020-10-24,3,Mallorca,11143.0,2405.0,328.0,13835.0
17,2020-10-24,1,Eivissa,2043.0,368.0,16.0,2404.0
17,2020-10-24,2,Formentera,129.0,9.0,1.0,139.0
17,2020-10-24,4,Menorca,356.0,126.0,14.0,495.0
18,2020-10-25,3,Mallorca,11466.0,2546.0,333.0,14305.0
18,2020-10-25,1,Eivissa,2110.0,359.0,16.0,2462.0
18,2020-10-25,0,total-balears,14090.0,3040.0,364.0,17430.0
18,2020-10-25,2,Formentera,130.0,9.0,1.0,140.0
18,2020-10-25,4,Menorca,384.0,126.0,14.0,523.0
19,2020-10-26,3,Mallorca,11466.0,2546.0,333.0,14305.0
19,2020-10-26,1,Eivissa,2110.0,359.0,16.0,2462.0
19,2020-10-26,0,total-balears,14090.0,3040.0,364.0,17430.0
19,2020-10-26,2,Formentera,130.0,9.0,1.0,140.0
19,2020-10-26,4,Menorca,384.0,126.0,14.0,523.0
20,2020-10-27,2,Formentera,130.0,12.0,1.0,143.0
20,2020-10-27,1,Eivissa,2152.0,408.0,16.0,2554.0
20,2020-10-27,0,total-balears,14378.0,3168.0,366.0,17849.0
20,2020-10-27,4,Menorca,395.0,132.0,14.0,540.0
20,2020-10-27,3,Mallorca,11701.0,2616.0,335.0,14612.0
21,2020-10-28,2,Formentera,130.0,14.0,1.0,145.0
21,2020-10-28,4,Menorca,400.0,139.0,14.0,552.0
21,2020-10-28,1,Eivissa,2164.0,430.0,16.0,2587.0
21,2020-10-28,3,Mallorca,11763.0,2731.0,335.0,14789.0
21,2020-10-28,0,total-balears,14457.0,3314.0,366.0,18073.0
22,2020-10-29,0,total-balears,14457.0,3314.0,366.0,18073.0
22,2020-10-29,1,Eivissa,2164.0,430.0,16.0,2587.0
22,2020-10-29,4,Menorca,400.0,139.0,14.0,552.0
22,2020-10-29,3,Mallorca,11763.0,2731.0,335.0,14789.0
22,2020-10-29,2,Formentera,130.0,14.0,1.0,145.0
23,2020-10-30,1,Eivissa,2164.0,430.0,16.0,2587.0
23,2020-10-30,3,Mallorca,11763.0,2731.0,335.0,14789.0
23,2020-10-30,4,Menorca,400.0,139.0,14.0,552.0
23,2020-10-30,2,Formentera,130.0,14.0,1.0,145.0
23,2020-10-30,0,total-balears,14457.0,3314.0,366.0,18073.0
