,date,region_code,region,cases,recovered,active_cases,deceased
0,2020-10-07,07046,Sant Antoni de Portmany,350.0,295.0,57.0,1.0
0,2020-10-07,07048,Sant Josep de sa Talaia,357.0,317.0,40.0,1.0
0,2020-10-07,0,total-eivissa,2111.0,1771.0,349.0,15.0
0,2020-10-07,07026,Eivissa,1080.0,885.0,201.0,4.0
0,2020-10-07,07054,Santa Eulària des Riu,286.0,241.0,45.0,9.0
0,2020-10-07,07050,Sant Joan de Labritja,38.0,33.0,6.0,0.0
1,2020-10-08,07046,Sant Antoni de Portmany,352.0,299.0,55.0,1.0
1,2020-10-08,07048,Sant Josep de sa Talaia,358.0,319.0,39.0,1.0
1,2020-10-08,0,total-eivissa,2132.0,1787.0,354.0,15.0
1,2020-10-08,07050,Sant Joan de Labritja,38.0,34.0,5.0,0.0
1,2020-10-08,07054,Santa Eulària des Riu,291.0,244.0,47.0,9.0
1,2020-10-08,07026,Eivissa,1093.0,891.0,208.0,4.0
2,2020-10-09,07050,Sant Joan de Labritja,38.0,34.0,5.0,0.0
2,2020-10-09,07048,Sant Josep de sa Talaia,358.0,319.0,39.0,1.0
2,2020-10-09,07046,Sant Antoni de Portmany,352.0,299.0,55.0,1.0
2,2020-10-09,07054,Santa Eulària des Riu,291.0,244.0,47.0,9.0
2,2020-10-09,07026,Eivissa,1093.0,891.0,208.0,4.0
2,2020-10-09,0,total-eivissa,2132.0,1787.0,354.0,15.0
3,2020-10-10,07050,Sant Joan de Labritja,38.0,34.0,5.0,0.0
3,2020-10-10,07054,Santa Eulària des Riu,291.0,244.0,47.0,9.0
3,2020-10-10,0,total-eivissa,2132.0,1787.0,354.0,15.0
3,2020-10-10,07046,Sant Antoni de Portmany,352.0,299.0,55.0,1.0
3,2020-10-10,07048,Sant Josep de sa Talaia,358.0,319.0,39.0,1.0
3,2020-10-10,07026,Eivissa,1093.0,891.0,208.0,4.0
4,2020-10-11,07048,Sant Josep de sa Talaia,358.0,319.0,39.0,1.0
4,2020-10-11,07054,Santa Eulària des Riu,291.0,244.0,47.0,9.0
