,date,region_code,region,cases,recovered,active_cases,deceased
0,2020-10-07,07024,Formentera,138.0,123.0,14.0,1.0
0,2020-10-07,0,total-formentera,138.0,123.0,14.0,1.0
1,2020-10-08,07024,Formentera,138.0,124.0,13.0,1.0
1,2020-10-08,0,total-formentera,138.0,124.0,13.0,1.0
2,2020-10-09,07024,Formentera,138.0,124.0,13.0,1.0
2,2020-10-09,0,total-formentera,138.0,124.0,13.0,1.0
3,2020-10-10,07024,Formentera,138.0,124.0,13.0,1.0
3,2020-10-10,0,total-formentera,138.0,124.0,13.0,1.0
4,2020-10-11,07024,Formentera,138.0,124.0,13.0,1.0
4,2020-10-11,0,total-formentera,138.0,124.0,13.0,1.0
5,2020-10-12,07024,Formentera,138.0,126.0,11.0,1.0
5,2020-10-12,0,total-formentera,138.0,126.0,11.0,1.0
6,2020-10-13,07024,Formentera,138.0,129.0,8.0,1.0
6,2020-10-13,0,total-formentera,138.0,129.0,8.0,1.0
7,2020-10-14,0,total-formentera,138.0,129.0,8.0,1.0
7,2020-10-14,07024,Formentera,138.0,129.0,8.0,1.0
8,2020-10-15,0,total-formentera,138.0,129.0,8.0,1.0
8,2020-10-15,07024,Formentera,138.0,129.0,8.0,1.0
9,2020-10-16,0,total-formentera,138.0,129.0,8.0,1.0
9,2020-10-16,07024,Formentera,138.0,129.0,8.0,1.0
10,2020-10-17,0,total-formentera,138.0,129.0,8.0,1.0
10,2020-10-17,07024,Formentera,138.0,129.0,8.0,1.0
11,2020-10-18,07024,Formentera,138.0,129.0,8.0,1.0
11,2020-10-18,0,total-formentera,138.0,129.0,8.0,1.0
12,2020-10-19,07024,Formentera,139.0,129.0,9.0,1.0
12,2020-10-19,0,total-formentera,139.0,129.0,9.0,1.0
13,2020-10-20,07024,Formentera,139.0,129.0,9.0,1.0
13,2020-10-20,0,total-formentera,139.0,129.0,9.0,1.0
14,2020-10-21,07024,Formentera,139.0,129.0,9.0,1.0
14,2020-10-21,0,total-formentera,139.0,129.0,9.0,1.0
15,2020-10-22,0,total-formentera,139.0,129.0,9.0,1.0
15,2020-10-22,07024,Formentera,139.0,129.0,9.0,1.0
16,2020-10-23,07024,Formentera,139.0,129.0,9.0,1.0
16,2020-10-23,0,total-formentera,139.0,129.0,9.0,1.0
17,2020-10-24,0,total-formentera,139.0,129.0,9.0,1.0
17,2020-10-24,07024,Formentera,139.0,129.0,9.0,1.0
18,2020-10-25,07024,Formentera,140.0,130.0,9.0,1.0
18,2020-10-25,0,total-formentera,140.0,130.0,9.0,1.0
19,2020-10-26,0,total-formentera,140.0,130.0,9.0,1.0
19,2020-10-26,07024,Formentera,140.0,130.0,9.0,1.0
20,2020-10-27,07024,Formentera,143.0,130.0,12.0,1.0
20,2020-10-27,0,total-formentera,143.0,130.0,12.0,1.0
21,2020-10-28,0,total-formentera,145.0,130.0,14.0,1.0
21,2020-10-28,07024,Formentera,145.0,130.0,14.0,1.0
22,2020-10-29,07024,Formentera,145.0,130.0,14.0,1.0
22,2020-10-29,0,total-formentera,145.0,130.0,14.0,1.0
23,2020-10-30,0,total-formentera,145.0,130.0,14.0,1.0
23,2020-10-30,07024,Formentera,145.0,130.0,14.0,1.0
24,2020-10-31,07024,Formentera,145.0,130.0,14.0,1.0
24,2020-10-31,0,total-formentera,145.0,130.0,14.0,1.0
25,2020-11-01,0,total-formentera,145.0,131.0,13.0,1.0
25,2020-11-01,07024,Formentera,145.0,131.0,13.0,1.0
26,2020-11-02,07024,Formentera,146.0,131.0,14.0,1.0
26,2020-11-02,0,total-formentera,146.0,131.0,14.0,1.0
27,2020-11-03,0,total-formentera,147.0,131.0,15.0,1.0
27,2020-11-03,07024,Formentera,147.0,131.0,15.0,1.0
28,2020-11-04,07024,Formentera,149.0,132.0,16.0,1.0
28,2020-11-04,0,total-formentera,149.0,132.0,16.0,1.0
29,2020-11-05,07024,Formentera,150.0,133.0,16.0,1.0
29,2020-11-05,0,total-formentera,150.0,133.0,16.0,1.0
30,2020-11-06,07024,Formentera,150.0,133.0,16.0,1.0
30,2020-11-06,0,total-formentera,150.0,133.0,16.0,1.0
31,2020-11-07,0,total-formentera,150.0,133.0,16.0,1.0
31,2020-11-07,07024,Formentera,150.0,133.0,16.0,1.0
32,2020-11-08,0,total-formentera,150.0,137.0,12.0,1.0
32,2020-11-08,07024,Formentera,150.0,137.0,12.0,1.0
33,2020-11-09,0,total-formentera,151.0,137.0,13.0,1.0
33,2020-11-09,07024,Formentera,151.0,137.0,13.0,1.0
34,2020-11-10,0,total-formentera,152.0,137.0,14.0,1.0
34,2020-11-10,07024,Formentera,152.0,137.0,14.0,1.0
35,2020-11-11,07024,Formentera,152.0,137.0,14.0,1.0
35,2020-11-11,0,total-formentera,152.0,137.0,14.0,1.0
36,2020-11-12,0,total-formentera,154.0,137.0,16.0,1.0
36,2020-11-12,07024,Formentera,154.0,137.0,16.0,1.0
37,2020-11-13,07024,Formentera,154.0,137.0,16.0,1.0
37,2020-11-13,0,total-formentera,154.0,137.0,16.0,1.0
38,2020-11-14,07024,Formentera,154.0,137.0,16.0,1.0
38,2020-11-14,0,total-formentera,154.0,137.0,16.0,1.0
39,2020-11-15,07024,Formentera,154.0,138.0,15.0,1.0
39,2020-11-15,0,total-formentera,154.0,138.0,15.0,1.0
40,2020-11-16,07024,Formentera,155.0,139.0,15.0,1.0
40,2020-11-16,0,total-formentera,155.0,139.0,15.0,1.0
41,2020-11-17,07024,Formentera,155.0,140.0,14.0,1.0
41,2020-11-17,0,total-formentera,155.0,140.0,14.0,1.0
42,2020-11-18,0,total-formentera,157.0,140.0,16.0,1.0
42,2020-11-18,07024,Formentera,157.0,140.0,16.0,1.0
43,2020-11-19,07024,Formentera,159.0,140.0,18.0,1.0
43,2020-11-19,0,total-formentera,159.0,140.0,18.0,1.0
44,2020-11-20,07024,Formentera,159.0,140.0,18.0,1.0
44,2020-11-20,0,total-formentera,159.0,140.0,18.0,1.0
45,2020-11-21,0,total-formentera,159.0,140.0,18.0,1.0
45,2020-11-21,07024,Formentera,159.0,140.0,18.0,1.0
46,2020-11-22,0,total-formentera,160.0,141.0,18.0,1.0
46,2020-11-22,07024,Formentera,160.0,141.0,18.0,1.0
47,2020-11-23,07024,Formentera,160.0,141.0,18.0,1.0
47,2020-11-23,0,total-formentera,160.0,141.0,18.0,1.0
48,2020-11-24,0,total-formentera,160.0,141.0,18.0,1.0
48,2020-11-24,07024,Formentera,160.0,141.0,18.0,1.0
49,2020-11-25,07024,Formentera,160.0,141.0,18.0,1.0
49,2020-11-25,0,total-formentera,160.0,141.0,18.0,1.0
50,2020-11-26,0,total-formentera,160.0,141.0,18.0,1.0
50,2020-11-26,07024,Formentera,160.0,141.0,18.0,1.0
51,2020-11-27,07024,Formentera,160.0,141.0,18.0,1.0
51,2020-11-27,0,total-formentera,160.0,141.0,18.0,1.0
52,2020-11-28,0,total-formentera,160.0,141.0,18.0,1.0
52,2020-11-28,07024,Formentera,160.0,141.0,18.0,1.0
53,2020-11-29,0,total-formentera,163.0,147.0,15.0,1.0
53,2020-11-29,07024,Formentera,163.0,147.0,15.0,1.0
54,2020-11-30,07024,Formentera,163.0,147.0,15.0,1.0
54,2020-11-30,0,total-formentera,163.0,147.0,15.0,1.0
55,2020-12-01,0,total-formentera,163.0,147.0,15.0,1.0
55,2020-12-01,07024,Formentera,163.0,147.0,15.0,1.0
56,2020-12-02,0,total-formentera,163.0,148.0,14.0,1.0
56,2020-12-02,07024,Formentera,163.0,148.0,14.0,1.0
57,2020-12-03,0,total-formentera,163.0,152.0,10.0,1.0
57,2020-12-03,07024,Formentera,163.0,152.0,10.0,1.0
58,2020-12-04,07024,Formentera,163.0,152.0,10.0,1.0
58,2020-12-04,0,total-formentera,163.0,152.0,10.0,1.0
59,2020-12-05,0,total-formentera,163.0,152.0,10.0,1.0
59,2020-12-05,07024,Formentera,163.0,152.0,10.0,1.0
60,2020-12-06,0,total-formentera,163.0,152.0,10.0,1.0
60,2020-12-06,07024,Formentera,163.0,152.0,10.0,1.0
61,2020-12-07,07024,Formentera,163.0,152.0,10.0,1.0
61,2020-12-07,0,total-formentera,163.0,152.0,10.0,1.0
62,2020-12-08,0,total-formentera,166.0,153.0,12.0,1.0
62,2020-12-08,07024,Formentera,166.0,153.0,12.0,1.0
63,2020-12-09,07024,Formentera,167.0,153.0,13.0,1.0
63,2020-12-09,0,total-formentera,167.0,153.0,13.0,1.0
64,2020-12-10,07024,Formentera,168.0,153.0,14.0,1.0
64,2020-12-10,0,total-formentera,168.0,153.0,14.0,1.0
65,2020-12-11,07024,Formentera,168.0,153.0,14.0,1.0
65,2020-12-11,0,total-formentera,168.0,153.0,14.0,1.0
66,2020-12-12,0,total-formentera,168.0,153.0,14.0,1.0
66,2020-12-12,07024,Formentera,168.0,153.0,14.0,1.0
67,2020-12-13,07024,Formentera,173.0,153.0,19.0,1.0
67,2020-12-13,0,total-formentera,173.0,153.0,19.0,1.0
68,2020-12-14,0,total-formentera,174.0,154.0,19.0,1.0
68,2020-12-14,07024,Formentera,174.0,154.0,19.0,1.0
69,2020-12-15,07024,Formentera,184.0,155.0,28.0,1.0
69,2020-12-15,0,total-formentera,184.0,155.0,28.0,1.0
70,2020-12-16,07024,Formentera,194.0,156.0,37.0,1.0
70,2020-12-16,0,total-formentera,194.0,156.0,37.0,1.0
71,2020-12-17,07024,Formentera,208.0,158.0,49.0,1.0
71,2020-12-17,0,total-formentera,208.0,158.0,49.0,1.0
72,2020-12-18,07024,Formentera,208.0,158.0,49.0,1.0
72,2020-12-18,0,total-formentera,208.0,158.0,49.0,1.0
73,2020-12-19,07024,Formentera,208.0,158.0,49.0,1.0
73,2020-12-19,0,total-formentera,208.0,158.0,49.0,1.0
74,2020-12-20,0,total-formentera,218.0,160.0,57.0,1.0
74,2020-12-20,07024,Formentera,218.0,160.0,57.0,1.0
75,2020-12-21,0,total-formentera,227.0,169.0,57.0,1.0
75,2020-12-21,07024,Formentera,227.0,169.0,57.0,1.0
76,2020-12-22,0,total-formentera,231.0,170.0,60.0,1.0
76,2020-12-22,07024,Formentera,231.0,170.0,60.0,1.0
77,2020-12-23,0,total-formentera,231.0,170.0,60.0,1.0
77,2020-12-23,07024,Formentera,231.0,170.0,60.0,1.0
78,2020-12-24,0,total-formentera,231.0,170.0,60.0,1.0
78,2020-12-24,07024,Formentera,231.0,170.0,60.0,1.0
79,2020-12-25,07024,Formentera,231.0,170.0,60.0,1.0
79,2020-12-25,0,total-formentera,231.0,170.0,60.0,1.0
80,2020-12-26,07024,Formentera,231.0,170.0,60.0,1.0
80,2020-12-26,0,total-formentera,231.0,170.0,60.0,1.0
81,2020-12-27,07024,Formentera,259.0,185.0,72.0,2.0
81,2020-12-27,0,total-formentera,259.0,185.0,72.0,2.0
82,2020-12-28,07024,Formentera,262.0,195.0,65.0,2.0
82,2020-12-28,0,total-formentera,262.0,195.0,65.0,2.0
83,2020-12-29,07024,Formentera,265.0,198.0,65.0,2.0
83,2020-12-29,0,total-formentera,265.0,198.0,65.0,2.0
84,2020-12-30,0,total-formentera,265.0,198.0,65.0,2.0
84,2020-12-30,07024,Formentera,265.0,198.0,65.0,2.0
85,2020-12-31,0,total-formentera,265.0,198.0,65.0,2.0
85,2020-12-31,07024,Formentera,265.0,198.0,65.0,2.0
86,2021-01-01,07024,Formentera,265.0,198.0,65.0,2.0
86,2021-01-01,0,total-formentera,265.0,198.0,65.0,2.0
87,2021-01-02,0,total-formentera,265.0,198.0,65.0,2.0
87,2021-01-02,07024,Formentera,265.0,198.0,65.0,2.0
88,2021-01-03,0,total-formentera,275.0,213.0,60.0,2.0
88,2021-01-03,07024,Formentera,275.0,213.0,60.0,2.0
89,2021-01-04,0,total-formentera,278.0,235.0,41.0,2.0
89,2021-01-04,07024,Formentera,278.0,235.0,41.0,2.0
90,2021-01-05,0,total-formentera,278.0,235.0,41.0,2.0
