,date,region_code,region,cases,recovered,active_cases,deceased
0,2020-10-07,07027,Inca,399.0,271.0,123.0,5.0
0,2020-10-07,07051,Sant Llorenç des Cardassar,32.0,22.0,8.0,2.0
0,2020-10-07,07018,Deià,7.0,6.0,1.0,0.0
0,2020-10-07,07049,Sant Joan,60.0,26.0,22.0,8.0
0,2020-10-07,07044,Sa Pobla,142.0,122.0,21.0,0.0
0,2020-10-07,07019,Escorca,0.0,0.0,0.0,0.0
0,2020-10-07,07045,Puigpunyent,10.0,6.0,5.0,0.0
0,2020-10-07,07020,Esporles,58.0,49.0,8.0,1.0
0,2020-10-07,07041,Petra,0.0,0.0,0.0,0.0
0,2020-10-07,07043,Porreres,38.0,34.0,6.0,0.0
0,2020-10-07,07021,Estellencs,0.0,0.0,0.0,0.0
0,2020-10-07,07042,Pollença,70.0,58.0,12.0,2.0
0,2020-10-07,07022,Felanitx,81.0,64.0,14.0,3.0
0,2020-10-07,07040,Palma,7814.0,6532.0,1115.0,192.0
0,2020-10-07,07025,Fornalutx,0.0,0.0,0.0,0.0
0,2020-10-07,07039,Muro,62.0,53.0,7.0,3.0
0,2020-10-07,07038,Montuïri,58.0,16.0,34.0,7.0
0,2020-10-07,07028,Lloret de Vistalegre,1.0,2.0,0.0,0.0
0,2020-10-07,07036,Marratxí,514.0,431.0,81.0,4.0
0,2020-10-07,07031,Llucmajor,459.0,387.0,69.0,3.0
0,2020-10-07,07035,Maria de la Salut,16.0,15.0,1.0,0.0
0,2020-10-07,07034,Mancor de la Vall,4.0,2.0,2.0,0.0
0,2020-10-07,07033,Manacor,328.0,244.0,82.0,8.0
0,2020-10-07,07030,Llubí,25.0,23.0,2.0,0.0
0,2020-10-07,07017,Costitx,6.0,4.0,2.0,0.0
0,2020-10-07,0,total-mallorca,12223.0,9971.0,2015.0,291.0
0,2020-10-07,07053,Santa Eugènia,4.0,4.0,0.0,0.0
0,2020-10-07,07055,Santa Margalida,73.0,64.0,9.0,0.0
0,2020-10-07,07005,Andratx,64.0,58.0,6.0,2.0
0,2020-10-07,07004,Algaida,41.0,35.0,6.0,1.0
0,2020-10-07,07006,Artà,54.0,51.0,4.0,0.0
0,2020-10-07,07003,Alcúdia,138.0,121.0,20.0,0.0
0,2020-10-07,07007,Banyalbufar,5.0,4.0,1.0,0.0
0,2020-10-07,07001,Alaró,74.0,61.0,12.0,1.0
0,2020-10-07,07065,Vilafranca de Bonany,35.0,29.0,6.0,1.0
0,2020-10-07,07008,Binissalem,95.0,72.0,22.0,1.0
0,2020-10-07,07063,Valldemossa,24.0,18.0,5.0,1.0
0,2020-10-07,07009,Búger,4.0,3.0,1.0,0.0
0,2020-10-07,07062,Son Servera,67.0,56.0,11.0,2.0
0,2020-10-07,07010,Bunyola,63.0,48.0,12.0,3.0
0,2020-10-07,07061,Sóller,234.0,115.0,108.0,10.0
0,2020-10-07,07060,Sineu,31.0,27.0,3.0,1.0
0,2020-10-07,07011,Calvià,544.0,450.0,78.0,21.0
0,2020-10-07,07059,Ses Salines,13.0,9.0,3.0,1.0
0,2020-10-07,07013,Campos,87.0,74.0,13.0,2.0
0,2020-10-07,07047,Sencelles,21.0,17.0,3.0,1.0
0,2020-10-07,07058,Selva,16.0,15.0,1.0,1.0
0,2020-10-07,07014,Capdepera,117.0,72.0,43.0,2.0
0,2020-10-07,07057,Santanyí,56.0,51.0,5.0,1.0
0,2020-10-07,07012,Campanet,15.0,13.0,2.0,0.0
0,2020-10-07,07056,Santa Maria del Camí,105.0,96.0,8.0,1.0
0,2020-10-07,07016,Consell,26.0,19.0,7.0,0.0
0,2020-10-07,07029,Lloseta,22.0,13.0,9.0,0.0
0,2020-10-07,07901,Ariany,11.0,9.0,2.0,0.0
1,2020-10-08,07901,Ariany,11.0,9.0,2.0,0.0
1,2020-10-08,07059,Ses Salines,13.0,9.0,3.0,1.0
1,2020-10-08,07033,Manacor,333.0,248.0,83.0,8.0
1,2020-10-08,07004,Algaida,41.0,35.0,6.0,1.0
1,2020-10-08,07019,Escorca,0.0,0.0,0.0,0.0
1,2020-10-08,07044,Sa Pobla,142.0,122.0,21.0,0.0
1,2020-10-08,07034,Mancor de la Vall,4.0,2.0,2.0,0.0
1,2020-10-08,07017,Costitx,6.0,4.0,2.0,0.0
1,2020-10-08,07005,Andratx,64.0,59.0,5.0,2.0
1,2020-10-08,07027,Inca,403.0,273.0,125.0,5.0
1,2020-10-08,07039,Muro,62.0,53.0,7.0,3.0
1,2020-10-08,07063,Valldemossa,24.0,18.0,5.0,1.0
1,2020-10-08,07057,Santanyí,56.0,51.0,5.0,1.0
1,2020-10-08,07012,Campanet,15.0,13.0,2.0,0.0
1,2020-10-08,07007,Banyalbufar,5.0,4.0,1.0,0.0
1,2020-10-08,07042,Pollença,71.0,60.0,11.0,2.0
1,2020-10-08,07031,Llucmajor,459.0,390.0,66.0,3.0
1,2020-10-08,0,total-mallorca,12314.0,10033.0,2040.0,294.0
1,2020-10-08,07022,Felanitx,83.0,64.0,16.0,3.0
1,2020-10-08,07062,Son Servera,67.0,56.0,11.0,2.0
1,2020-10-08,07001,Alaró,74.0,61.0,12.0,1.0
1,2020-10-08,07025,Fornalutx,0.0,0.0,0.0,0.0
1,2020-10-08,07047,Sencelles,21.0,17.0,3.0,1.0
1,2020-10-08,07049,Sant Joan,63.0,27.0,21.0,10.0
1,2020-10-08,07006,Artà,54.0,52.0,3.0,0.0
1,2020-10-08,07035,Maria de la Salut,16.0,15.0,1.0,0.0
1,2020-10-08,07029,Lloseta,23.0,14.0,9.0,0.0
1,2020-10-08,07051,Sant Llorenç des Cardassar,32.0,24.0,6.0,2.0
