,date,region_code,region,cases,recovered,active_cases,deceased
0,2020-10-07,07052,Sant Lluís,25.0,22.0,2.0,1.0
0,2020-10-07,07002,Alaior,16.0,14.0,2.0,0.0
0,2020-10-07,0,total-menorca,387.0,332.0,43.0,13.0
0,2020-10-07,07064,Es Castell,17.0,13.0,4.0,0.0
0,2020-10-07,07023,Ferreries,1.0,0.0,1.0,0.0
0,2020-10-07,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
0,2020-10-07,07037,Es Mercadal,25.0,21.0,1.0,3.0
0,2020-10-07,07032,Maó,98.0,83.0,10.0,6.0
0,2020-10-07,07015,Ciutadella de Menorca,204.0,178.0,23.0,3.0
1,2020-10-08,0,total-menorca,389.0,334.0,43.0,13.0
1,2020-10-08,07064,Es Castell,17.0,13.0,4.0,0.0
1,2020-10-08,07023,Ferreries,1.0,0.0,1.0,0.0
1,2020-10-08,07002,Alaior,16.0,14.0,2.0,0.0
1,2020-10-08,07037,Es Mercadal,26.0,22.0,1.0,3.0
1,2020-10-08,07032,Maó,98.0,83.0,10.0,6.0
1,2020-10-08,07015,Ciutadella de Menorca,205.0,179.0,23.0,3.0
1,2020-10-08,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
1,2020-10-08,07052,Sant Lluís,25.0,22.0,2.0,1.0
2,2020-10-09,07002,Alaior,16.0,14.0,2.0,0.0
2,2020-10-09,07064,Es Castell,17.0,13.0,4.0,0.0
2,2020-10-09,07037,Es Mercadal,26.0,22.0,1.0,3.0
2,2020-10-09,07023,Ferreries,1.0,0.0,1.0,0.0
2,2020-10-09,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
2,2020-10-09,07015,Ciutadella de Menorca,205.0,179.0,23.0,3.0
2,2020-10-09,07052,Sant Lluís,25.0,22.0,2.0,1.0
2,2020-10-09,0,total-menorca,389.0,334.0,43.0,13.0
2,2020-10-09,07032,Maó,98.0,83.0,10.0,6.0
3,2020-10-10,07002,Alaior,16.0,14.0,2.0,0.0
3,2020-10-10,07037,Es Mercadal,26.0,22.0,1.0,3.0
3,2020-10-10,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
3,2020-10-10,07023,Ferreries,1.0,0.0,1.0,0.0
3,2020-10-10,07032,Maó,98.0,83.0,10.0,6.0
3,2020-10-10,07015,Ciutadella de Menorca,205.0,179.0,23.0,3.0
3,2020-10-10,07064,Es Castell,17.0,13.0,4.0,0.0
3,2020-10-10,07052,Sant Lluís,25.0,22.0,2.0,1.0
3,2020-10-10,0,total-menorca,389.0,334.0,43.0,13.0
4,2020-10-11,07037,Es Mercadal,26.0,22.0,1.0,3.0
4,2020-10-11,07052,Sant Lluís,25.0,22.0,2.0,1.0
4,2020-10-11,07015,Ciutadella de Menorca,205.0,179.0,23.0,3.0
4,2020-10-11,07002,Alaior,16.0,14.0,2.0,0.0
4,2020-10-11,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
4,2020-10-11,07023,Ferreries,1.0,0.0,1.0,0.0
4,2020-10-11,07032,Maó,98.0,83.0,10.0,6.0
4,2020-10-11,0,total-menorca,389.0,334.0,43.0,13.0
4,2020-10-11,07064,Es Castell,17.0,13.0,4.0,0.0
5,2020-10-12,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
5,2020-10-12,07052,Sant Lluís,25.0,22.0,2.0,1.0
5,2020-10-12,07023,Ferreries,1.0,0.0,1.0,0.0
5,2020-10-12,07037,Es Mercadal,27.0,22.0,2.0,3.0
5,2020-10-12,07064,Es Castell,17.0,13.0,4.0,0.0
5,2020-10-12,07032,Maó,100.0,85.0,10.0,6.0
5,2020-10-12,07002,Alaior,16.0,14.0,2.0,0.0
5,2020-10-12,07015,Ciutadella de Menorca,209.0,180.0,26.0,3.0
5,2020-10-12,0,total-menorca,396.0,337.0,47.0,13.0
6,2020-10-13,07002,Alaior,16.0,14.0,2.0,0.0
6,2020-10-13,07015,Ciutadella de Menorca,213.0,183.0,27.0,3.0
6,2020-10-13,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
6,2020-10-13,07037,Es Mercadal,27.0,22.0,2.0,3.0
6,2020-10-13,07052,Sant Lluís,26.0,22.0,3.0,1.0
6,2020-10-13,07064,Es Castell,18.0,13.0,5.0,0.0
6,2020-10-13,07032,Maó,124.0,85.0,34.0,6.0
6,2020-10-13,0,total-menorca,426.0,340.0,74.0,13.0
6,2020-10-13,07023,Ferreries,1.0,0.0,1.0,0.0
7,2020-10-14,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
7,2020-10-14,07023,Ferreries,1.0,0.0,1.0,0.0
7,2020-10-14,07002,Alaior,16.0,14.0,2.0,0.0
7,2020-10-14,0,total-menorca,430.0,340.0,78.0,13.0
7,2020-10-14,07052,Sant Lluís,26.0,22.0,3.0,1.0
7,2020-10-14,07037,Es Mercadal,27.0,22.0,2.0,3.0
7,2020-10-14,07015,Ciutadella de Menorca,217.0,183.0,31.0,3.0
7,2020-10-14,07032,Maó,124.0,85.0,34.0,6.0
7,2020-10-14,07064,Es Castell,18.0,13.0,5.0,0.0
8,2020-10-15,07023,Ferreries,1.0,0.0,1.0,0.0
8,2020-10-15,07015,Ciutadella de Menorca,217.0,183.0,31.0,3.0
8,2020-10-15,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
8,2020-10-15,07037,Es Mercadal,27.0,22.0,2.0,3.0
8,2020-10-15,07002,Alaior,16.0,14.0,2.0,0.0
8,2020-10-15,07032,Maó,127.0,85.0,37.0,6.0
8,2020-10-15,07052,Sant Lluís,26.0,22.0,3.0,1.0
8,2020-10-15,07064,Es Castell,18.0,13.0,5.0,0.0
8,2020-10-15,0,total-menorca,433.0,340.0,81.0,13.0
9,2020-10-16,07015,Ciutadella de Menorca,217.0,183.0,31.0,3.0
9,2020-10-16,07002,Alaior,16.0,14.0,2.0,0.0
9,2020-10-16,07037,Es Mercadal,27.0,22.0,2.0,3.0
9,2020-10-16,0,total-menorca,433.0,340.0,81.0,13.0
9,2020-10-16,07064,Es Castell,18.0,13.0,5.0,0.0
9,2020-10-16,07052,Sant Lluís,26.0,22.0,3.0,1.0
9,2020-10-16,07032,Maó,127.0,85.0,37.0,6.0
9,2020-10-16,07023,Ferreries,1.0,0.0,1.0,0.0
9,2020-10-16,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
10,2020-10-17,0,total-menorca,433.0,340.0,81.0,13.0
10,2020-10-17,07064,Es Castell,18.0,13.0,5.0,0.0
10,2020-10-17,07002,Alaior,16.0,14.0,2.0,0.0
10,2020-10-17,07902,Es Migjorn Gran,1.0,1.0,0.0,0.0
10,2020-10-17,07015,Ciutadella de Menorca,217.0,183.0,31.0,3.0
10,2020-10-17,07032,Maó,127.0,85.0,37.0,6.0
10,2020-10-17,07052,Sant Lluís,26.0,22.0,3.0,1.0
10,2020-10-17,07023,Ferreries,1.0,0.0,1.0,0.0
10,2020-10-17,07037,Es Mercadal,27.0,22.0,2.0,3.0
11,2020-10-18,07023,Ferreries,1.0,0.0,1.0,0.0
11,2020-10-18,07032,Maó,129.0,87.0,37.0,6.0
11,2020-10-18,0,total-menorca,448.0,344.0,92.0,13.0
11,2020-10-18,07037,Es Mercadal,27.0,22.0,2.0,3.0
11,2020-10-18,07052,Sant Lluís,26.0,22.0,3.0,1.0
11,2020-10-18,07015,Ciutadella de Menorca,219.0,183.0,33.0,3.0
11,2020-10-18,07902,Es Migjorn Gran,2.0,1.0,1.0,0.0
